name long lat distance elevation_m idx
01860 121.411200 25.070100 6.838500 95.199193 127
01870 121.410900 25.070300 6.878500 97.996272 128
01880 121.410600 25.070500 6.918500 104.389997 129
01890 121.410200 25.070800 6.958600 109.580421 130
01900 121.410100 25.070800 6.998600 114.549115 131
01910 121.409800 25.071100 7.038600 110.390255 132
01920 121.409300 25.071500 7.078600 115.251345 133
01930 121.409000 25.071800 7.118600 117.485184 134
01940 121.409000 25.071800 7.158700 117.485184 135
01950 121.408700 25.072000 7.198700 124.956893 136
01960 121.408200 25.072200 7.238700 125.604071 137
