0 0
0.508824 0
1.01765 0
1.52647 0
2.03529 0
2.54412 0
3.05294 0
3.56176 0
4.07059 0
4.57941 0
5.08824 0
5.59706 0
6.10588 0
6.61471 0
7.12353 0
7.63235 0
8.14118 0
8.65 0
9.15882 0
9.66765 0
10.1765 0
10.6853 0
11.1941 0
11.7029 0
12.2118 0
12.7206 0
13.2294 0
13.7382 0
14.2471 0
14.7559 0
15.2647 0
15.7735 0
16.2824 0
16.7912 0
17.3 0
17.8088 0
18.3176 0
18.8265 0
19.3353 0
19.8441 1.31995e-05
20.3529 0.000188297
20.8618 0.000753578
21.3706 0.00193835
21.8794 0.0039719
22.3882 0.00708355
22.8971 0.0115026
23.4059 0.0174583
23.9147 0.02518
24.4235 0.0348971
24.9324 0.0468387
25.4412 0.0612342
25.95 0.0783129
26.4588 0.0983042
26.9676 0.121437
27.4765 0.147941
27.9853 0.178046
28.4941 0.21198
29.0029 0.249973
29.5118 0.292255
30.0206 0.339054
30.5294 0.3906
31.0382 0.447123
31.5471 0.508851
32.0559 0.576013
32.5647 0.64884
33.0735 0.727561
33.5824 0.812404
34.0912 0.903599
34.6 1
